model,year,motor_type,running,wheel,color,type,status,motor_volume,price
hyundai,2019,petrol,19000  miles,left,black,sedan,excellent,2.0,17000
hyundai,2011,petrol,150000  miles,left,black,sedan,good,2.0,7000
hyundai,2019,petrol,56000  miles,left,silver,sedan,excellent,2.0,15300
toyota,2016,gas,120000  km,left,black,sedan,excellent,1.6,17500
nissan,2018,petrol and gas,115500  km,left,black,suv,excellent,2.5,20000
mercedes-benz,2014,petrol,115000  km,left,white,sedan,good,2.0,15000
mercedes-benz,2016,petrol,137000  km,left,black,sedan,good,2.0,23000
hyundai,2011,petrol,107000  miles,left,black,sedan,excellent,2.0,12700
hyundai,2011,petrol,118000  miles,left,blue,sedan,good,1.8,9200
kia,2019,petrol,50000  miles,left,white,sedan,excellent,2.0,14600
mercedes-benz,2001,gas,250000  km,left,black,sedan,normal,2.0,4000
kia,2023,petrol,3300  km,left,gray,sedan,new,2.0,21800
nissan,2018,petrol,100000  miles,left,gray,suv,excellent,2.0,17000
hyundai,2019,petrol,75000  miles,left,black,sedan,excellent,2.0,15500
toyota,2012,petrol,167666  km,left,white,sedan,excellent,2.0,15750
mercedes-benz,1995,petrol,258000  km,left,black,sedan,good,2.0,3300
nissan,2017,petrol,108000  km,left,white,suv,excellent,2.5,17500
toyota,2018,petrol,56000  km,left,black,sedan,excellent,2.0,20500
nissan,2018,petrol,59000  km,left,silver,suv,good,2.5,19300
mercedes-benz,2002,gas,200000  km,left,silver,sedan,good,2.0,6600
hyundai,2018,petrol,73000  km,left,black,sedan,excellent,2.0,12650
mercedes-benz,2000,petrol,155000  km,left,silver,sedan,excellent,2.0,7750
nissan,2018,petrol,22000  miles,left,red,suv,excellent,2.0,16300
hyundai,2019,petrol,43000  miles,left,white,sedan,excellent,2.0,15000
nissan,2018,petrol,55450  miles,left,silver,suv,good,2.0,18500
mercedes-benz,2017,petrol,70000  miles,left,gray,sedan,excellent,2.0,27200
mercedes-benz,2015,petrol,200000  km,left,white,sedan,good,1.8,25300
kia,2016,petrol and gas,102500  miles,left,cherry,sedan,good,2.0,11800
toyota,2007,petrol,265000  km,left,white,sedan,good,2.0,8200
toyota,2015,petrol,45000  km,left,gray,sedan,excellent,2.0,13700
toyota,2015,petrol,100000  miles,left,black,sedan,excellent,2.0,14900
mercedes-benz,2018,petrol,70000  km,left,black,sedan,excellent,2.0,31000
kia,2019,petrol,22300  miles,left,gray,sedan,excellent,2.0,15800
kia,2017,petrol,110000  miles,left,white,sedan,excellent,2.0,11950
nissan,2017,petrol,35000  miles,left,white,suv,excellent,2.0,18300
nissan,2021,petrol,30000  miles,left,black,suv,excellent,2.5,34000
hyundai,2021,petrol,18700  miles,left,white,sedan,excellent,2.0,27000
kia,2020,petrol,82000  miles,left,gray,sedan,excellent,2.0,17500
mercedes-benz,2018,petrol,60000  miles,left,black,sedan,excellent,2.0,34000
mercedes-benz,2016,petrol,110000  km,left,black,sedan,excellent,2.0,28300
nissan,2017,petrol,52000  miles,left,white,suv,good,2.5,14800
hyundai,2011,gas,147000  miles,left,white,sedan,normal,2.0,9000
hyundai,2016,petrol,777777  miles,left,other,sedan,excellent,2.0,13300
mercedes-benz,2001,gas,222000  km,left,silver,sedan,excellent,2.0,4990
toyota,2021,petrol,110000  km,left,black,sedan,excellent,2.0,15750
mercedes-benz,2022,diesel,50  km,left,gray,pickup,excellent,2.0,15750
kia,2019,petrol,44000  km,left,cherry,sedan,excellent,1.6,16000
mercedes-benz,2006,petrol,160000  km,left,black,sedan,excellent,2.0,8300
hyundai,2017,petrol,64300  km,left,white,sedan,excellent,2.0,15600
hyundai,2021,petrol,19950  km,left,gray,sedan,excellent,2.0,23000
mercedes-benz,2016,petrol,120000  km,left,white,sedan,excellent,2.0,30000
kia,2019,petrol,24000  miles,left,blue,sedan,excellent,2.0,20000
kia,2018,petrol,13600  miles,left,blue,sedan,excellent,2.0,11600
kia,2019,petrol,45000  miles,left,gray,sedan,excellent,2.0,15500
toyota,2018,petrol,95000  km,left,black,sedan,excellent,2.0,21300
hyundai,2020,petrol,18000  miles,left,brown,sedan,excellent,1.8,16950
toyota,2016,petrol,160000  km,left,white,sedan,excellent,2.0,15000
mercedes-benz,2013,petrol,185000  km,left,black,sedan,excellent,1.8,16000
nissan,2019,petrol,69100  miles,left,black,Universal,excellent,2.5,18400
mercedes-benz,2017,petrol,10000  km,left,white,sedan,crashed,2.0,21000
kia,2020,petrol,88000  km,left,black,sedan,excellent,2.0,15800
mercedes-benz,2011,gas,175000  km,left,white,sedan,excellent,2.0,13300
nissan,2018,petrol,40000  miles,left,black,suv,excellent,2.0,17500
mercedes-benz,2009,petrol and gas,198000  km,left,silver,sedan,excellent,2.0,11300
mercedes-benz,2012,petrol,229000  km,left,black,sedan,excellent,2.0,15500
toyota,2017,petrol,63500  miles,left,silver,sedan,excellent,1.8,14000
toyota,2020,petrol,45000  miles,left,black,sedan,excellent,1.8,20000
nissan,2017,petrol,65000  miles,left,black,suv,excellent,2.0,17300
toyota,2008,petrol,180000  km,left,black,sedan,good,2.0,10000
nissan,2018,petrol,39000  miles,left,white,suv,excellent,2.0,19000
mercedes-benz,2005,petrol,250000  km,left,black,sedan,good,2.0,7000
nissan,2018,petrol,65000  miles,left,black,suv,excellent,2.0,18600
mercedes-benz,2019,petrol,27000  miles,left,black,sedan,excellent,4.0,87000
hyundai,2019,petrol,40000  miles,left,silver,sedan,good,2.0,14300
kia,2019,petrol,57000  miles,left,white,sedan,excellent,2.0,16300
nissan,2017,petrol,70000  miles,left,black,suv,good,2.0,18750
toyota,2014,petrol,210000  km,left,white,sedan,excellent,2.0,14500
mercedes-benz,1999,petrol,300000  km,left,silver,hatchback,good,1.8,3800
mercedes-benz,2013,petrol,160000  km,left,gray,sedan,good,2.0,15500
toyota,2007,petrol,219000  km,left,silver,sedan,normal,1.6,7000
nissan,2017,petrol,39500  miles,left,black,suv,excellent,2.0,21000
mercedes-benz,2010,gas,245000  km,left,gray,sedan,excellent,3.0,12000
mercedes-benz,1997,petrol,185000  km,left,gray,sedan,excellent,2.0,4800
hyundai,2019,petrol,29000  miles,left,gray,sedan,excellent,2.0,14000
toyota,2015,petrol,105000  miles,left,black,sedan,excellent,1.8,15500
kia,2018,petrol,60000  miles,left,black,sedan,excellent,2.0,17200
mercedes-benz,2016,petrol,70000  km,left,white,sedan,excellent,2.0,31500
hyundai,2019,petrol,90000  miles,left,black,sedan,excellent,2.0,16000
hyundai,2019,petrol,37000  km,left,black,sedan,good,2.0,15000
nissan,2018,petrol,82000  km,left,gray,suv,excellent,2.0,16000
mercedes-benz,2021,petrol,22000  km,left,silver,sedan,excellent,2.0,36000
nissan,2015,petrol,33400  miles,left,silver,sedan,excellent,2.0,14800
nissan,2018,petrol,80000  km,left,white,suv,excellent,2.0,13700
mercedes-benz,1996,gas,274000  km,left,white,sedan,excellent,2.0,5200
hyundai,2017,petrol,79650  miles,left,white,sedan,excellent,2.0,16300
hyundai,2011,petrol,100  miles,left,gray,sedan,excellent,1.8,9500
kia,2017,petrol,56000  miles,left,gray,hatchback,excellent,1.6,14800
mercedes-benz,1993,petrol,350000  km,left,black,sedan,normal,2.0,3000
mercedes-benz,2007,petrol,220000  km,left,black,sedan,excellent,3.0,12100
nissan,2018,petrol,130000  km,left,white,suv,new,2.5,16300
kia,2019,petrol,68300  miles,left,white,sedan,excellent,2.0,16500
mercedes-benz,2006,petrol,47777  km,left,black,sedan,good,2.8,7700
kia,2018,petrol,90000  km,left,white,sedan,excellent,2.0,14500
nissan,2017,petrol,110000  miles,left,white,suv,excellent,2.5,20500
nissan,2016,petrol,99000  km,left,gray,Universal,good,2.5,18900
kia,2019,petrol,41300  miles,left,black,sedan,excellent,2.0,14900
mercedes-benz,1998,gas,302000  km,left,green,sedan,normal,2.0,3900
toyota,2022,petrol,30000  km,left,white,sedan,excellent,1.6,28000
nissan,2016,petrol,70000  miles,left,gray,suv,excellent,2.0,16500
toyota,2017,petrol,58  km,left,black,sedan,excellent,1.6,17800
mercedes-benz,1999,gas,300  km,left,blue,sedan,good,2.0,6500
hyundai,2019,petrol,89000  km,left,black,sedan,excellent,2.0,17500
nissan,2017,petrol,145000  km,left,gray,suv,excellent,2.5,15400
hyundai,2020,petrol,38000  miles,left,black,sedan,excellent,2.0,16200
mercedes-benz,2017,petrol,81500  miles,left,black,sedan,excellent,2.0,27500
toyota,2020,petrol,42000  miles,left,black,sedan,excellent,2.0,25000
toyota,2014,petrol,42000  miles,left,silver,sedan,excellent,1.8,16000
mercedes-benz,2007,petrol and gas,280000  km,left,black,sedan,good,2.0,12000
kia,2019,petrol,64000  km,left,red,sedan,excellent,2.0,16500
kia,2020,petrol,41000  miles,left,black,sedan,excellent,2.0,16800
mercedes-benz,2001,petrol,200000  km,left,blue,sedan,good,1.8,7400
nissan,2021,petrol,1000  km,left,black,suv,excellent,2.0,21500
hyundai,2012,gas,141000  miles,left,black,sedan,good,1.8,10000
toyota,2007,petrol,182000  km,left,black,sedan,good,1.6,8500
mercedes-benz,2009,petrol,202000  km,left,gray,sedan,good,2.0,10200
hyundai,2012,petrol,53000  km,left,white,sedan,excellent,1.8,14500
kia,2018,petrol,40000  km,left,black,sedan,good,2.0,15750
mercedes-benz,1995,gas,370000  km,left,blue,sedan,excellent,2.0,5500
nissan,2018,petrol,38000  km,left,red,suv,excellent,2.0,18700
nissan,2019,petrol,36000  km,left,black,suv,excellent,2.0,16800
mercedes-benz,2012,petrol,163000  km,left,black,sedan,excellent,2.0,12990
nissan,2017,petrol,67000  miles,left,white,suv,excellent,2.0,17000
hyundai,2019,petrol,62000  km,left,white,sedan,excellent,2.0,16200
mercedes-benz,1998,gas,316000  km,left,blue,sedan,excellent,2.4,7000
kia,2018,petrol,50005  miles,left,white,sedan,excellent,2.0,15125
toyota,2015,petrol,62000  miles,left,black,sedan,excellent,2.0,14300
hyundai,2020,petrol,63000  miles,left,white,sedan,crashed,2.0,12500
mercedes-benz,2018,petrol,57000  km,left,black,sedan,excellent,2.0,33000
kia,2017,petrol,82000  miles,left,white,sedan,excellent,2.0,13500
nissan,2017,petrol,77761  km,left,red,suv,excellent,2.0,17500
hyundai,2021,petrol,7900  miles,left,blue,sedan,excellent,2.0,27000
hyundai,2017,petrol,65000  km,left,white,sedan,excellent,2.0,15200
kia,2019,petrol,63000  miles,left,gray,sedan,excellent,2.0,16500
nissan,2017,petrol,47100  miles,left,other,suv,excellent,2.5,19500
toyota,2020,petrol,8700  km,left,blue,sedan,excellent,2.0,27500
mercedes-benz,2014,petrol,150000  km,left,white,sedan,good,2.0,15800
hyundai,2019,petrol,70000  miles,left,white,sedan,excellent,2.0,18700
mercedes-benz,2003,gas,250000  km,left,silver,sedan,good,2.0,6300
toyota,2016,petrol,110000  km,left,black,sedan,excellent,2.0,16000
nissan,2018,petrol,65000  km,left,white,suv,excellent,2.0,19500
nissan,2018,petrol,100000  miles,left,gray,suv,good,2.5,18000
hyundai,2017,petrol,75000  miles,left,red,sedan,good,2.0,14000
nissan,2018,petrol,39000  miles,left,silver,suv,normal,2.0,17000
kia,2018,petrol,37000  miles,left,silver,sedan,excellent,2.0,17300
toyota,2020,petrol,68000  km,left,silver,sedan,excellent,2.0,22900
kia,2021,petrol,88616  km,left,white,sedan,normal,2.0,15800
kia,2022,petrol,8700  km,left,black,sedan,excellent,2.0,25300
nissan,2019,petrol,77000  km,left,silver,suv,excellent,2.0,17900
toyota,2023,petrol,20  km,left,white,sedan,excellent,2.0,28900
nissan,2010,petrol,160000  km,left,black,hatchback,excellent,2.0,12000
hyundai,2019,petrol,65000  miles,left,gray,sedan,excellent,2.0,16500
mercedes-benz,1995,gas,35000  km,left,white,sedan,normal,2.0,4600
nissan,2016,petrol,35000  miles,left,red,suv,excellent,2.5,14900
nissan,2018,petrol,96122  km,left,silver,suv,excellent,2.0,21000
nissan,2018,petrol,70000  km,left,black,suv,excellent,2.0,20000
kia,2018,petrol,101  miles,left,gray,sedan,excellent,2.0,17300
mercedes-benz,2018,petrol,77000  km,left,white,sedan,excellent,2.0,33700
kia,2019,petrol,100000  km,left,black,sedan,excellent,2.0,18000
mercedes-benz,2014,petrol,174000  km,left,black,sedan,excellent,2.0,18300
mercedes-benz,1998,petrol,400000  km,left,cherry,sedan,excellent,2.0,6000
nissan,2017,petrol,72000  km,left,gray,suv,excellent,2.0,18300
mercedes-benz,1996,gas,180000  km,left,black,sedan,normal,2.0,15750
nissan,2017,petrol,105000  km,left,white,suv,excellent,2.0,15500
nissan,2018,petrol,75000  miles,left,black,suv,excellent,2.0,18000
mercedes-benz,2021,petrol,8800  km,left,black,sedan,new,2.0,78000
hyundai,2018,petrol,55000  miles,left,silver,sedan,excellent,2.0,15350
hyundai,2017,petrol,120000  miles,left,black,sedan,good,2.0,11000
toyota,2017,petrol,72000  km,left,white,sedan,excellent,2.0,15750
mercedes-benz,2001,petrol,201000  km,left,blue,sedan,excellent,2.6,6400
mercedes-benz,2014,petrol,163000  km,left,gray,sedan,good,2.0,13900
mercedes-benz,2010,petrol,164000  km,left,white,sedan,good,0.3,12800
nissan,2019,petrol,26000  miles,left,gray,Universal,excellent,2.0,23400
kia,2018,petrol,65000  miles,left,black,sedan,excellent,2.0,14200
kia,2021,petrol,10600  miles,left,blue,sedan,excellent,2.0,20500
kia,2018,petrol,112000  miles,left,blue,sedan,excellent,2.0,12200
mercedes-benz,1997,petrol and gas,318481  km,left,green,sedan,normal,1.8,15750
toyota,2016,petrol,66000  miles,left,white,sedan,excellent,1.8,18600
hyundai,2017,petrol,103000  miles,left,red,sedan,excellent,2.0,13800
nissan,2019,petrol,10000  km,left,gray,suv,excellent,2.0,21000
kia,2020,petrol,1400  miles,left,black,sedan,excellent,2.0,23000
mercedes-benz,2016,petrol,60000  km,left,white,sedan,excellent,2.0,26000
hyundai,2017,petrol,35000  miles,left,gray,sedan,excellent,2.0,15700
kia,2018,petrol,66000  miles,left,black,sedan,excellent,2.0,12900
kia,2012,gas,190000  km,left,black,sedan,good,2.0,6200
nissan,2019,petrol,56000  miles,left,white,suv,excellent,2.5,20500
mercedes-benz,2010,petrol,126000  miles,left,black,sedan,good,3.0,12700
toyota,2014,petrol,115000  km,left,white,sedan,excellent,2.0,14400
kia,2017,petrol,81200  miles,left,blue,sedan,excellent,2.0,11000
kia,2018,petrol,78000  miles,left,silver,sedan,excellent,2.0,15750
toyota,2014,gas,55000  miles,left,beige,sedan,good,2.0,14400
mercedes-benz,2007,petrol,190000  km,left,red,sedan,excellent,2.0,8500
toyota,2014,gas,163000  km,left,white,sedan,good,1.6,16300
mercedes-benz,2018,petrol,78400  km,left,white,sedan,excellent,2.0,33500
mercedes-benz,1994,gas,420000  km,left,silver,sedan,normal,2.0,3300
hyundai,2018,petrol,83000  km,left,gray,sedan,excellent,2.0,14600
hyundai,2016,petrol,160000  km,left,black,sedan,excellent,2.0,20000
hyundai,2011,petrol,73000  miles,left,black,sedan,good,2.0,9800
mercedes-benz,2002,petrol and gas,300000  km,left,blue,sedan,good,2.0,6500
nissan,2020,petrol,38000  miles,left,black,Universal,crashed,2.0,17200
hyundai,2019,petrol,76000  miles,left,white,sedan,excellent,2.0,15750
kia,2020,petrol,60000  miles,left,silver,sedan,excellent,2.0,19000
mercedes-benz,1995,petrol,390000  km,left,silver,sedan,good,2.2,4400
hyundai,2014,petrol,45000  miles,left,white,Coupe,excellent,2.0,11000
nissan,2019,petrol,24200  miles,left,white,suv,excellent,2.0,22000
mercedes-benz,2002,petrol and gas,250000  km,left,silver,sedan,normal,2.6,5800
hyundai,2021,petrol,84020  km,left,white,sedan,crashed,2.0,17300
hyundai,2012,gas,123000  miles,left,black,sedan,good,2.0,10500
nissan,2019,petrol,17000  km,left,black,suv,excellent,2.0,21500
hyundai,2021,petrol,40000  km,left,white,sedan,excellent,2.0,28500
toyota,2020,petrol,42000  km,left,white,sedan,excellent,2.0,21000
hyundai,2018,petrol,90000  miles,left,black,sedan,excellent,2.0,12500
hyundai,2011,gas,150000  miles,left,black,sedan,excellent,1.8,9000
hyundai,2017,gas,40000  miles,left,black,sedan,excellent,2.0,13900
mercedes-benz,2017,petrol,78000  km,left,black,sedan,excellent,2.0,27000
mercedes-benz,2012,petrol,129000  miles,left,black,sedan,good,3.0,13900
toyota,2017,petrol,32000  km,left,black,sedan,excellent,2.0,19900
hyundai,2013,petrol and gas,138000  miles,left,white,sedan,excellent,2.0,9500
toyota,2018,petrol,70000  miles,left,other,sedan,good,2.0,15500
nissan,2017,petrol,66000  miles,left,white,suv,good,2.0,18000
mercedes-benz,2004,gas,235000  km,left,black,sedan,excellent,2.4,6500
mercedes-benz,1997,gas,160000  km,left,blue,sedan,excellent,1.8,4800
nissan,2018,petrol,117000  miles,left,silver,suv,excellent,2.0,15500
kia,2019,petrol,66500  km,left,white,sedan,excellent,2.0,20300
toyota,2020,petrol,15600  miles,left,black,sedan,excellent,2.0,26000
nissan,2017,petrol,27200  km,left,white,suv,good,2.0,16000
hyundai,2019,petrol,58000  miles,left,white,sedan,good,2.0,16600
kia,2018,petrol,85000  miles,left,white,sedan,excellent,2.0,13900
mercedes-benz,1998,petrol,293000  km,left,cherry,sedan,normal,1.8,4600
toyota,2013,gas,160000  km,left,black,sedan,excellent,1.6,14800
kia,2016,petrol,69000  miles,left,white,sedan,excellent,2.0,11300
toyota,2020,petrol,104000  miles,left,white,sedan,excellent,1.8,17500
nissan,2018,petrol,42000  miles,left,silver,suv,excellent,2.0,18500
hyundai,2018,petrol,129000  miles,left,black,sedan,excellent,2.0,11800
nissan,2018,petrol,65000  miles,left,gray,suv,excellent,2.0,18000
nissan,2019,petrol,77000  km,left,white,suv,excellent,2.0,16200
hyundai,2014,gas,65000  miles,left,white,sedan,excellent,2.0,11700
kia,2018,petrol,20000  miles,left,black,sedan,excellent,2.0,13800
nissan,2018,petrol,71000  miles,left,white,suv,excellent,2.5,20000
hyundai,2014,petrol,133000  miles,left,black,sedan,good,2.0,10500
kia,2019,petrol,135000  km,left,white,sedan,crashed,2.0,13000
mercedes-benz,2016,petrol,140000  km,left,white,sedan,good,2.0,27000
mercedes-benz,1995,gas,380000  km,left,green,sedan,good,2.0,4000
mercedes-benz,2006,petrol and gas,181000  km,left,black,sedan,excellent,2.5,7800
mercedes-benz,1997,petrol,450000  km,left,blue,sedan,good,2.0,4300
kia,2019,petrol,66000  miles,left,gray,sedan,excellent,2.0,16500
mercedes-benz,2007,gas,291000  km,left,gray,sedan,normal,2.0,10000
kia,2019,petrol,42000  miles,left,gray,sedan,excellent,2.0,18000
hyundai,2019,petrol,42000  miles,left,black,sedan,excellent,2.0,13600
mercedes-benz,2018,petrol,80000  km,left,black,sedan,excellent,2.0,32000
nissan,2019,petrol,77000  miles,left,black,suv,excellent,2.0,21700
mercedes-benz,2017,petrol,70000  miles,left,white,sedan,excellent,2.0,27000
nissan,2018,petrol,75000  km,left,silver,suv,excellent,2.0,17500
nissan,2018,petrol,25000  miles,left,white,suv,excellent,2.0,15000
hyundai,2017,petrol,130000  miles,left,blue,sedan,excellent,2.0,14800
hyundai,2018,petrol,53000  miles,left,black,sedan,excellent,2.0,15200
kia,2019,petrol,58000  km,left,gray,sedan,excellent,2.0,16200
mercedes-benz,2015,petrol,103000  km,left,gray,sedan,excellent,2.0,27500
mercedes-benz,2012,petrol,180000  km,left,black,sedan,excellent,3.0,17500
nissan,2020,petrol,33000  miles,left,gray,suv,excellent,2.0,20000
hyundai,2016,petrol,110000  miles,left,white,sedan,good,2.0,12700
mercedes-benz,2000,petrol,200000  km,left,blue,sedan,normal,2.0,6000
kia,2018,petrol,99000  miles,left,blue,sedan,excellent,2.0,16200
mercedes-benz,1995,gas,200000  km,left,gray,sedan,excellent,2.8,5200
nissan,2016,petrol,63000  km,left,black,hatchback,excellent,2.0,14900
mercedes-benz,2003,petrol,312000  km,left,white,sedan,good,2.0,6300
kia,2019,petrol,37000  km,left,white,sedan,excellent,2.0,15900
nissan,2018,petrol,80000  km,left,gray,suv,good,2.5,21700
toyota,2017,petrol,80000  miles,left,black,sedan,excellent,2.0,15400
mercedes-benz,2005,gas,161  km,left,blue,sedan,excellent,2.0,8000
nissan,2020,petrol,53000  miles,left,black,suv,good,2.0,17500
nissan,2017,gas,65000  miles,left,silver,suv,excellent,2.5,18000
kia,2012,petrol,97000  miles,left,black,sedan,excellent,2.0,9100
kia,2019,petrol,60000  miles,left,blue,sedan,good,2.0,16300
hyundai,2015,petrol and gas,58000  miles,left,silver,sedan,good,2.0,11200
kia,2018,petrol,75000  km,left,black,sedan,good,2.0,13400
mercedes-benz,2013,petrol,115000  miles,left,black,sedan,excellent,2.0,16700
toyota,2020,petrol,59000  km,left,black,sedan,excellent,2.0,19700
mercedes-benz,1996,petrol and gas,215000  km,left,blue,sedan,normal,1.8,3800
mercedes-benz,1998,petrol,285000  km,left,blue,sedan,excellent,2.0,5500
mercedes-benz,2016,petrol,160000  km,left,black,sedan,good,2.0,26500
hyundai,2017,petrol,98000  km,left,white,sedan,excellent,2.0,18500
kia,2020,petrol,39000  miles,left,silver,sedan,excellent,2.0,19799
toyota,2019,petrol,113000  miles,left,black,sedan,excellent,2.0,20500
mercedes-benz,1995,petrol,384834  km,left,cherry,sedan,good,2.0,3200
toyota,2018,petrol,52  km,left,silver,sedan,excellent,1.8,17500
mercedes-benz,2016,petrol,75000  miles,left,silver,sedan,excellent,2.0,15750
mercedes-benz,2011,petrol,245000  km,left,black,sedan,excellent,2.0,12500
nissan,2018,petrol,125000  km,left,silver,suv,good,2.0,18000
hyundai,2012,petrol,80  km,left,black,sedan,excellent,2.0,9700
mercedes-benz,1995,petrol,360000  km,left,red,sedan,good,1.8,4700
mercedes-benz,2018,petrol,125000  km,left,black,sedan,excellent,2.0,30000
hyundai,2017,petrol,144000  km,left,black,sedan,excellent,2.0,17500
nissan,2017,petrol,64000  km,left,gray,suv,excellent,2.0,15500
nissan,2021,petrol,21000  km,left,black,suv,excellent,2.5,37262
nissan,2016,petrol,57000  miles,left,cherry,suv,excellent,2.5,4375
kia,2020,petrol,11800  miles,left,gray,sedan,excellent,2.0,18500
hyundai,2018,petrol,76000  miles,left,white,sedan,excellent,2.0,16700
hyundai,2016,petrol,19000  miles,left,white,sedan,excellent,2.0,13500
nissan,2018,petrol,96000  miles,left,black,suv,excellent,2.0,17500
kia,2017,petrol,91000  miles,left,black,sedan,excellent,2.0,12900
hyundai,2019,petrol,5555  miles,left,black,sedan,excellent,2.0,18000
kia,2019,petrol,30000  miles,left,white,sedan,excellent,2.0,20000
hyundai,2014,gas,140000  km,left,white,sedan,normal,1.8,11500
hyundai,2016,petrol,51000  miles,left,red,sedan,excellent,2.0,12650
hyundai,2019,petrol,20350  km,left,black,sedan,excellent,2.0,15300
hyundai,2017,petrol,27144  miles,left,red,sedan,excellent,2.0,12450
mercedes-benz,2002,petrol,162000  km,left,black,sedan,good,1.8,7300
toyota,2014,gas,153000  km,left,white,sedan,good,2.0,14500
kia,2019,petrol,73  miles,left,black,sedan,excellent,2.0,15300
nissan,2018,petrol,80000  km,left,black,suv,excellent,2.0,15750
kia,2019,petrol,28501  miles,left,black,sedan,excellent,2.0,16300
toyota,2012,petrol,100000  km,left,black,sedan,excellent,1.8,14500
nissan,2017,petrol,120000  miles,left,black,suv,excellent,2.0,18500
kia,2022,petrol,7000  km,left,black,sedan,excellent,2.0,15750
hyundai,2014,gas,133000  miles,left,gray,sedan,excellent,1.8,15750
hyundai,2021,petrol,47000  km,left,white,sedan,excellent,2.0,25000
toyota,2022,petrol,518  miles,left,silver,sedan,excellent,1.8,26000
toyota,2017,petrol,74000  km,left,black,sedan,excellent,2.0,17500
kia,2017,petrol,80000  miles,left,white,sedan,excellent,2.0,13450
mercedes-benz,1997,gas,1111  km,left,other,sedan,good,2.0,4300
nissan,2018,petrol,100000  km,left,white,Universal,excellent,2.0,16300
hyundai,2019,petrol,78000  miles,left,cherry,sedan,excellent,2.0,14200
mercedes-benz,2018,petrol,41000  km,left,black,sedan,excellent,2.0,40000
nissan,2019,petrol,47000  miles,left,white,suv,excellent,2.0,15750
kia,2020,petrol,62000  miles,left,black,sedan,excellent,2.0,18000
mercedes-benz,2001,petrol and gas,300000  km,left,golden,sedan,good,3.2,5500
nissan,2017,petrol,99000  km,left,silver,suv,excellent,2.0,16800
hyundai,2020,gas,15000  km,left,gray,sedan,excellent,2.0,16500
kia,2019,petrol,37000  miles,left,silver,sedan,excellent,2.0,17500
hyundai,2022,petrol,12000  km,left,black,sedan,excellent,2.0,27900
hyundai,2022,petrol,5000  km,left,black,sedan,excellent,2.0,15750
mercedes-benz,1996,gas,250000  km,left,silver,sedan,excellent,2.2,5600
nissan,2016,petrol,300000  km,left,silver,suv,excellent,2.5,13000
toyota,2012,petrol,136000  miles,left,silver,sedan,excellent,1.8,13700
kia,2019,petrol,50000  km,left,gray,sedan,crashed,2.0,10600
nissan,2020,petrol,34000  miles,left,gray,suv,excellent,2.0,19000
toyota,2016,petrol,118000  km,left,white,sedan,excellent,2.0,15750
kia,2018,gas,27000  miles,left,white,sedan,excellent,2.0,15900
nissan,2017,petrol,90000  miles,left,green,Universal,excellent,2.0,15991
mercedes-benz,2017,petrol,82000  miles,left,black,sedan,excellent,2.0,29500
kia,2017,petrol,66000  km,left,black,sedan,excellent,2.0,13900
nissan,2018,gas,55000  km,left,black,suv,excellent,2.0,21000
hyundai,2020,petrol,47000  miles,left,white,sedan,excellent,2.0,17000
kia,2019,petrol,45000  miles,left,silver,sedan,excellent,2.0,19800
mercedes-benz,2008,gas,230000  km,left,gray,sedan,excellent,2.0,12000
mercedes-benz,2001,petrol,269000  km,left,silver,sedan,good,2.0,6500
hyundai,2017,petrol,82000  km,left,white,sedan,excellent,2.0,14500
nissan,2017,petrol,117000  km,left,gray,suv,excellent,2.0,19400
mercedes-benz,1998,gas,279000  km,left,blue,sedan,excellent,1.8,5500
kia,2018,petrol,79000  miles,left,white,sedan,excellent,2.0,13000
toyota,2020,petrol,56000  km,left,black,sedan,new,2.0,23000
mercedes-benz,2015,petrol,56000  km,left,white,sedan,excellent,2.0,27000
hyundai,2022,petrol,8000  miles,left,black,sedan,good,2.0,24500
mercedes-benz,2009,petrol,325000  km,left,black,sedan,good,3.0,13000
mercedes-benz,2013,petrol,125000  miles,left,white,sedan,excellent,3.5,15750
toyota,2010,petrol,136  miles,left,white,sedan,good,1.8,9000
mercedes-benz,2007,gas,135  miles,left,black,sedan,normal,2.0,6800
nissan,2019,petrol,56000  miles,left,silver,suv,excellent,2.0,18000
kia,2019,petrol,20000  km,left,silver,sedan,excellent,2.0,16500
hyundai,2012,petrol,10  miles,left,black,sedan,excellent,1.8,10400
mercedes-benz,1994,petrol and gas,311000  km,left,white,sedan,good,1.8,5000
kia,2017,petrol,40000  miles,left,white,sedan,excellent,2.0,13800
kia,2017,petrol,82000  miles,left,silver,sedan,good,2.0,10300
toyota,2020,petrol,60000  km,left,black,sedan,normal,2.0,17000
mercedes-benz,1998,petrol,932000  km,left,silver,sedan,normal,2.0,4800
mercedes-benz,2018,petrol,50000  km,left,black,sedan,excellent,2.0,31000
hyundai,2020,petrol,71000  km,left,white,sedan,excellent,2.0,13650
toyota,2010,gas,155000  km,left,white,sedan,excellent,2.0,8499
mercedes-benz,2008,gas,350000  km,left,black,sedan,excellent,3.0,11000
hyundai,2012,petrol,140000  km,left,white,sedan,normal,1.8,10000
hyundai,2017,petrol,50000  miles,left,white,sedan,excellent,2.0,11300
toyota,2016,petrol,140000  km,left,white,sedan,good,2.0,12100
toyota,2007,petrol,150000  km,left,blue,sedan,normal,1.6,15750
mercedes-benz,2016,petrol,120000  km,left,black,sedan,excellent,2.0,27900
nissan,2018,petrol,80000  miles,left,silver,suv,excellent,2.0,16500
